,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
144,11427,3,BIO 112L-13,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 114,none,7,24,17,M,biology,,0
145,11428,3,BIO 112L-14,Princpls of Biology II Lab,0,LAB,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 124,none,0,24,24,M,biology,,0
146,13795,3,BIO 112L-15,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,SULV 114,none,11,24,13,M,biology,,0
147,11433,"1,3,6",BIO 271-01,Human Anatomy,4,LEC,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SULV 101,none,5,288,283,M,biology,,0
148,11434,"5,7",BIO 271L-01,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 141,none,0,24,24,M,biology,,0
149,11435,"5,7",BIO 271L-02,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M,1400-1650,SULV 147,none,0,24,24,M,biology,,0
150,11436,"5,7",BIO 271L-03,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 141,none,1,24,23,M,biology,,0
151,11437,"5,7",BIO 271L-04,Human Anatomy Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 147,none,2,24,22,M,biology,,0
152,11438,"5,7",BIO 271L-05,Human Anatomy Lab,0,LAB,Ann B. Somers,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 141,none,0,24,24,M,biology,,0
153,11808,"5,7",BIO 271L-06,Human Anatomy Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,1400-1650,SULV 147,none,0,24,24,M,biology,,0
154,11439,"5,7",BIO 271L-07,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,W,1230-1520,SULV 141,none,0,24,24,M,biology,,0
155,11440,"5,7",BIO 271L-08,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,W,1400-1650,SULV 147,none,0,24,24,M,biology,,0
156,11441,"5,7",BIO 271L-09,Human Anatomy Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 141,none,0,24,24,M,biology,,0
157,11442,"5,7",BIO 271L-10,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 147,none,2,24,22,M,biology,,0
158,11443,"5,7",BIO 271L-11,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 141,none,0,24,24,M,biology,,0
159,13304,"5,7",BIO 271L-12,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 141,none,0,24,24,M,biology,,0
160,11444,3,BIO 277-01,Human Physiology,4,LEC,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,SULV 101,.ENV,49,288,239,M,biology,,0
161,11445,,BIO 277L-01,Human Physiology Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,0930-1220,EBER 327,none,3,24,21,M,biology,,0
162,11446,,BIO 277L-02,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1300-1550,EBER 323,none,0,24,24,M,biology,,0
163,11447,,BIO 277L-03,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1630-1920,EBER 327,none,9,24,15,M,biology,,0
164,11448,,BIO 277L-04,Human Physiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,0930-1220,EBER 327,none,1,24,23,M,biology,,0
165,11449,,BIO 277L-05,Human Physiology Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,W,0930-1220,EBER 323,none,0,24,24,M,biology,,0
166,11450,,BIO 277L-06,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,W,1300-1550,EBER 327,none,2,24,22,M,biology,,0
167,11452,,BIO 277L-07,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,1300-1550,EBER 323,none,3,24,21,M,biology,,0
168,11453,,BIO 277L-08,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,EBER 323,none,5,24,19,M,biology,,0
169,11454,,BIO 277L-09,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,R,0930-1220,EBER 327,none,6,24,18,M,biology,,0
170,11455,,BIO 277L-10,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,W,1300-1550,EBER 323,none,3,24,21,M,biology,,0
171,11456,,BIO 277L-11,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,1300-1550,EBER 327,none,8,24,16,M,biology,,0
172,11457,,BIO 277L-12,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,0930-1220,EBER 323,none,9,24,15,M,biology,,0
173,11458,"1,3,6",BIO 280-01,Fundamentals in Microbiology,4,LEC,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 101,none,0,192,192,M,biology,,0
174,11459,"5,7",BIO 280L-01,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,0900-1050,EBER 333,none,0,24,24,M,biology,,0
175,11460,"5,7",BIO 280L-02,Fundmntls of Microbiology Lab,0,LAB,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,M W,1100-1250,EBER 333,none,0,24,24,M,biology,,0
176,11461,"5,7",BIO 280L-03,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,1300-1450,EBER 333,none,-1,24,25,M,biology,,0
177,11462,"5,7",BIO 280L-04,Fundmntls of Microbiology Lab,0,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1500-1650,EBER 333,none,1,24,23,M,biology,,0
178,11463,"5,7",BIO 280L-05,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T R,0930-1120,EBER 333,none,-1,24,25,M,biology,,0
179,13782,"5,7",BIO 280L-06,Fundmntls of Microbiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1130-1320,EBER 333,none,-1,24,25,M,biology,,0
180,14443,"5,7",BIO 280L-07,Fundmntls of Microbiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1530-1720,EBER 333,none,0,24,24,M,biology,,0
181,15806,"5,7",BIO 280L-08,Fundmntls of Microbiology Lab,0,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1700-1900,EBER 333,none,2,24,22,M,biology,,0
182,11464,3,BIO 301-01,Principles of Ecology,3,LEC,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 101,.ENV.SUS,23,180,157,M,biology,,0
183,14869,3,BIO 315-01,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 117,.WI,9,24,15,M,biology,,1
184,14870,3,BIO 315-02,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 117,.WI,14,24,10,M,biology,,1
185,14872,3,BIO 315-03,Ecology and Evolution Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 117,.WI,16,24,8,M,biology,,1
186,14873,3,BIO 315-04,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 117,.WI,1,24,23,M,biology,,1
187,14874,3,BIO 315-05,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 117,.WI,6,24,18,M,biology,,1
188,14876,3,BIO 315-06,Ecology and Evolution Lab,2,LAB,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 117,.WI,3,24,21,M,biology,,1
189,14877,3,BIO 315-07,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 117,.WI,16,24,8,M,biology,,1
190,14878,3,BIO 315-08,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 117,.WI,-1,24,25,M,biology,,1
191,14879,3,BIO 330-01,Evolution,3,LEC,David L. Remington,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 225,none,119,250,131,M,biology,,0
192,11465,3,BIO 355-01,Cell Biology,3,LEC,Mark D. Hens,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,EBER 250,none,26,185,159,M,biology,,0
193,14884,3,BIO 375-01,Cell Biology and Genetics Lab,2,LAB,Karen S. Katula,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 363,.WI,8,20,12,M,biology,,1
194,14887,3,BIO 375-02,Cell Biology and Genetics Lab,2,LAB,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 365,.WI,10,20,10,M,biology,,1
195,14888,3,BIO 375-03,Cell Biology and Genetics Lab,2,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 363,.WI,1,20,19,M,biology,,1
196,14889,3,BIO 375-04,Cell Biology and Genetics Lab,2,LAB,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,T,1300-1550,SULV 365,.WI,8,20,12,M,biology,,1
197,14890,3,BIO 375-05,Cell Biology and Genetics Lab,2,LAB,Mark D. Hens,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 363,.WI,1,20,19,M,biology,,1
198,14891,3,BIO 375-06,Cell Biology and Genetics Lab,2,LAB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,W,1300-1550,SULV 365,.WI,8,20,12,M,biology,,1
199,14892,3,BIO 375-07,Cell Biology and Genetics Lab,2,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 363,.WI,2,20,18,M,biology,,1
200,14893,3,BIO 375-08,Cell Biology and Genetics Lab,2,LAB,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,R,1300-1550,SULV 365,.WI,11,20,9,M,biology,,1
201,11468,3,BIO 392-01,Genetics,3,LEC,Joshua P. Vandenbrink,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SULV 101,none,96,250,154,M,biology,,0
202,11471,"3,25,32",BIO 420-01,Marine Biology,3,LEC,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 201,.ENV,4,56,52,M,biology,,0
203,14178,3,BIO 438-01,Animal Behavior,3,LEC,Olav Rueppell,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 150,.ENV,0,34,34,M,biology,,0
204,14894,3,BIO 464-01,Developmental Biology,4,LEL,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 007,none,7,24,17,M,biology,,0
205,14895,3,BIO 472-01,Histology,4,LEL,Esther M. Leise,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 218,none,0,20,20,M,biology,,0
206,13432,3,BIO 488-01,Essentials of Toxicology,3,LEC,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,M W,1200-1315,SULV 233,none,-5,35,40,M,biology,,0
207,11485,"1,8,14,37,159",BIO 493-01,Honors Work,3,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,.HSS,9,10,1,M,biology,,0
208,15856,"1,8,14,37,159",BIO 493-03,Honors Work,3,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,.HSS,10,10,0,M,biology,,0
209,11486,3,BIO 494-01,Intro to Biotechnology,4,LEL,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 103,none,0,24,24,M,biology,,0
210,11487,"1,3,14,159,374",BIO 497-01,Internship in Biology,1,PRC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1300-1350,SULV 103,none,6,24,18,M,biology,,0
211,11488,"1,3,14,159,374",BIO 497-02,Internship in Biology,1,PRC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,F,1400-1450,SULV 301,none,14,24,10,M,biology,,0
212,11489,"1,3,159,374",BIO 499-01,Undergraduate Research,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,0,2,2,M,biology,,0
213,16440,"1,3,159,374",BIO 499-02,Undergraduate Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
214,11493,"1,3,159,374",BIO 499-03,Undergraduate Research,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,4,10,6,M,biology,,0
215,11494,"1,3,159,374",BIO 499-04,Undergraduate Research,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
216,11495,"1,3,159,374",BIO 499-05,Undergraduate Research,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,15,15,0,M,biology,,0
217,11496,"1,3,159,374",BIO 499-06,Undergraduate Research,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,5,10,5,M,biology,,0
218,11497,"1,3,159,374",BIO 499-07,Undergraduate Research,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
219,11498,"1,3,159,374",BIO 499-08,Undergraduate Research,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,6,10,4,M,biology,,0
220,11499,"1,3,159,374",BIO 499-09,Undergraduate Research,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
221,11490,"1,3,159,374",BIO 499-10,Undergraduate Research,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,6,10,4,M,biology,,0
222,11500,"1,3,159,374",BIO 499-12,Undergraduate Research,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
223,11501,"1,3,159,374",BIO 499-13,Undergraduate Research,1,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
224,11502,"1,3,159,374",BIO 499-14,Undergraduate Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
225,11503,"1,3,159,374",BIO 499-15,Undergraduate Research,1,IND,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
226,11504,"1,3,159,374",BIO 499-16,Undergraduate Research,1,IND,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,7,10,3,M,biology,,0
227,11505,"1,3,159,374",BIO 499-17,Undergraduate Research,1,IND,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
228,11506,"1,3,159,374",BIO 499-18,Undergraduate Research,1,IND,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,3,10,7,M,biology,,0
229,11507,"1,3,159,374",BIO 499-19,Undergraduate Research,1,IND,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,2,10,8,M,biology,,0
230,11545,"1,3,159,374",BIO 499-20,Undergraduate Research,1,IND,Ann B. Somers,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
231,11546,"1,3,159,374",BIO 499-21,Undergraduate Research,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
232,11547,"1,3,159,374",BIO 499-22,Undergraduate Research,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
233,11548,"1,3,159,374",BIO 499-23,Undergraduate Research,1,IND,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,6,10,4,M,biology,,0
234,11550,"1,3,159,374",BIO 499-24,Undergraduate Research,1,IND,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,7,10,3,M,biology,,0
235,12855,"1,3,159,374",BIO 499-25,Undergraduate Research,1,IND,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
236,16475,"1,3,159,374",BIO 499-26,Undergraduate Research,1,IND,Joseph L. Graves,08-JAN-2018 to 25-APR-2018,,,,none,7,10,3,M,biology,,0
237,16441,3,BIO 529-01,Aquatic Ecology,3,LEC,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,M,1400-1700,EBER 161,.ENV,3,30,27,M,biology,,0
238,16714,3,BIO 535-01,Biochem:Metabolic Regulation,3,LEC,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,M W,1400-1515,GRAM 204,none,0,20,20,M,biology,,0
239,16808,3,BIO 543-01,Biophysics,3,LEC,Promod R. Pratap,08-JAN-2018 to 25-APR-2018,T R,1530-1645,EBER 161,none,17,20,3,M,biology,,0
240,16447,"1,3,159",BIO 549-01,Current Topics:Stable Isotopes,1,SEM,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,W,1400-1450,SULV 301,none,2,15,13,M,biology,,0
241,16451,"1,3,159",BIO 549-02,Scientific Reading & Writing,1,SEM,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,M,1600-1650,EBER 310,none,8,20,12,M,biology,,0
242,15514,3,BIO 554-01,Vascular Plant Systematics,4,LEL,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 203,.ENV.SI,1,24,23,M,biology,,1
243,15515,7,BIO 554L-01,Vascular Plant Systematics Lab,0,LAB,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,T,1400-1650,SULV 123,none,1,24,23,M,biology,,0
244,14160,3,BIO 555-01,Vertebrate Reproduction,3,LEC,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SULV 355,none,9,30,21,M,biology,,0
245,14163,3,BIO 560-01,Symbiosis,3,LEC,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 218,.WI,-3,20,23,M,biology,,1
246,12856,3,BIO 583-01,Virology,3,LEC,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SULV 349,none,0,25,25,M,biology,,0
247,14902,3,BIO 586-01,Cell Cycle and Cancer,3,LEC,Karen S. Katula,08-JAN-2018 to 25-APR-2018,T R,1100-1215,EBER 554,none,0,30,30,M,biology,,0
248,14164,3,BIO 596-01,Moleculr Bio Apprch in Resrch,1,SEM,David L. Remington,08-JAN-2018 to 25-APR-2018,T,1400-1450,STON 217,.SI,-3,20,23,M,biology,,1
249,16712,3,BIO 596-02,Moleculr Bio Apprch in Resrch,1,LEC,John J. Lepri,08-JAN-2018 to 25-APR-2018,M,1500-1550,SULV 103,.SI,1,24,23,M,biology,,1
250,15725,3,BIO 596-03,Moleculr Bio Apprch- HUM EVOL,1,SEM,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,F,0900-0950,SULV 218,.SI,0,25,25,M,biology,,1
251,16446,3,BIO 597-01,Biotechnology: Toxicology,1,LEL,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,M,1400-1550,SULV 139,none,15,24,9,M,biology,,0
252,16465,3,BIO 601-01,Seminar in Animal Ecology,3,LEC,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,R,1500-1730,EBER 554,none,18,20,2,M,biology,,0
253,16466,3,BIO 609-01,Seminar in Molecular Biology,3,SEM,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 217,none,20,24,4,M,biology,,0
254,11598,"1,8,159",BIO 695-01,Biological Research,1,IND,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
255,11599,"1,8,159",BIO 695-02,Biological Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
256,11600,"1,8,159",BIO 695-03,Biological Research,1,IND,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
257,11601,"1,8,159",BIO 695-04,Biological Research,1,IND,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
258,11602,"1,8,159",BIO 695-05,Biological Research,1,IND,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
259,11603,"1,8,159",BIO 695-06,Biological Research,1,IND,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
260,11604,"1,8,159",BIO 695-07,Biological Research,1,IND,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
261,11605,"1,8,159",BIO 695-08,Biological Research,1,IND,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
262,11607,"1,8,159",BIO 695-09,Biological Research,1,IND,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
263,11608,"1,8,159",BIO 695-10,Biological Research,1,IND,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
264,11609,"1,8,159",BIO 695-12,Biological Research,1,IND,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
265,11610,"1,8,159",BIO 695-13,Biological Research,1,IND,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
266,11611,"1,8,159",BIO 695-14,Biological Research,1,IND,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
267,11612,"1,8,159",BIO 695-15,Biological Research,1,IND,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
268,11613,"1,8,159",BIO 695-16,Biological Research,1,IND,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
269,11614,"1,8,159",BIO 695-17,Biological Research,1,IND,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
270,11615,"1,8,159",BIO 695-18,Biological Research,1,IND,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
271,11617,"1,8,159",BIO 695-19,Biological Research,1,IND,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
272,11618,"1,8,159",BIO 695-20,Biological Research,1,IND,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
273,11619,"1,8,159",BIO 695-21,Biological Research,1,IND,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
274,11622,"1,8,159",BIO 695-22,Biological Research,1,IND,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
275,11628,"1,8,159",BIO 695-23,Biological Research,1,IND,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
276,12862,"1,8,159",BIO 695-24,Biological Research,1,IND,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
277,11631,159,BIO 699-01,Thesis,1,DTS,Amy L. Adamson,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
278,11633,159,BIO 699-02,Thesis,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
279,11635,159,BIO 699-03,Thesis,1,DTS,Ramji K. Bhandari,08-JAN-2018 to 25-APR-2018,,,,none,7,10,3,M,biology,,0
280,11647,159,BIO 699-04,Thesis,1,DTS,Mark D. Hens,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
281,11649,159,BIO 699-05,Thesis,1,DTS,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
282,11652,159,BIO 699-06,Thesis,1,DTS,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
283,11655,159,BIO 699-07,Thesis,1,DTS,Matina C. Kalcounis-Ruppell,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
284,11658,159,BIO 699-08,Thesis,1,DTS,Karen S. Katula,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
285,11685,159,BIO 699-09,Thesis,1,DTS,Bruce K. Kirchoff,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
286,11687,159,BIO 699-10,Thesis,1,DTS,Sarah E. Koerner,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
287,11689,159,BIO 699-12,Thesis,1,DTS,Esther M. Leise,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
288,11690,159,BIO 699-13,Thesis,1,DTS,John J. Lepri,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
289,11691,159,BIO 699-14,Thesis,1,DTS,,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
290,11694,159,BIO 699-15,Thesis,1,DTS,Yashomati M. Patel,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
291,11696,159,BIO 699-16,Thesis,1,DTS,David L. Remington,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
292,11700,159,BIO 699-17,Thesis,1,DTS,Parke A. Rublee,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
293,11704,159,BIO 699-18,Thesis,1,DTS,Olav Rueppell,08-JAN-2018 to 25-APR-2018,,,,none,8,10,2,M,biology,,0
294,11706,159,BIO 699-19,Thesis,1,DTS,Malcolm D. Schug,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
295,11709,159,BIO 699-20,Thesis,1,DTS,Robert H. Stavn,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
296,11711,159,BIO 699-21,Thesis,1,DTS,Paul A. Steimle,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
297,11712,159,BIO 699-22,Thesis,1,DTS,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
298,11408,159,BIO 699-23,Thesis,1,DTS,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,,,,none,9,10,1,M,biology,,0
299,12863,159,BIO 699-24,Thesis,1,DTS,Tsz-Ki M. Tsui,08-JAN-2018 to 25-APR-2018,,,,none,10,10,0,M,biology,,0
300,15536,8,BIO 732-01,Env Hlth Sci II:Indiv-Molecles,3,LEC,Zhenquan Jia,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 301,none,16,20,4,M,biology,,0
301,15718,8,BIO 734-01,Curr Rsch Envir Hlth Sci,1,DSC,Anne E. Hershey,08-JAN-2018 to 25-APR-2018,W,1220-1250,SULV 218,none,5,10,5,M,biology,,0
